,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199
Point_51,10.056,1.299,1.256,1.247,1.205,1.145,1.088,1.087,1.049,1.019,1.006,1.924,0.829,0.768,0.863,0.903,0.587,0.541,0.517,0.493,0.18,0.18,0.104,1.153,1.524,1.12,6.397,1.89,1.35,1.524,1.524,0.054,1.799,1.89,1.89,1.528,2.276,1.89,1.262,1.89,1.029,0.809,0.809,1.041,1.041,0.104,0.115,0.07,0.056,0.077,0.0,0.019,0.019,1.041,0.4,2.09,0.484,0.506,0.506,1.343,0.538,0.587,0.208,0.233,0.326,0.326,0.374,0.552,0.569,0.569,0.589,0.711,0.697,0.729,0.973,1.025,1.01,1.032,1.036,1.789,0.995,1.011,1.093,1.154,1.233,1.271,1.271,1.302,1.241,1.115,1.042,1.037,1.019,1.492,1.436,1.436,1.498,1.545,1.616,1.641,1.676,1.666,1.652,1.9,1.733,1.705,1.694,1.694,1.9,1.9,1.9,1.578,1.578,1.671,1.664,1.679,1.713,1.716,1.716,1.716,1.716,1.744,1.801,1.822,1.83,1.837,1.848,1.865,1.883,1.911,1.911,2.028,1.94,1.988,2.021,2.065,2.268,2.065,2.111,2.092,2.696,2.696,2.046,2.046,2.046,2.046,1.988,2.106,2.106,2.148,2.148,2.148,2.148,2.148,2.195,2.212,2.237,2.237,2.237,2.276,2.253,2.253,2.304,2.338,2.352,1.567,2.338,2.338,2.338,2.369,2.399,2.399,2.971,2.971,2.971,2.971,2.971,2.389,2.909,1.89,1.077,2.182,2.182,2.182,1.795,1.795,1.795,1.795,1.795,1.795,1.795,1.037,1.243,1.253,1.189,1.343,1.145,1.063,12.412
Point_52,10.037,1.28,1.237,1.227,1.185,1.125,1.069,1.068,1.03,0.999,0.987,1.905,0.81,0.748,0.844,0.884,0.567,0.522,0.498,0.474,0.161,0.161,0.085,1.134,1.505,1.1,6.378,1.871,1.331,1.505,1.505,0.073,1.78,1.871,1.871,1.508,2.257,1.871,1.243,1.871,1.01,0.79,0.79,1.021,1.021,0.123,0.134,0.051,0.075,0.058,0.019,0.0,0.0,1.021,0.42,2.071,0.503,0.526,0.526,1.324,0.557,0.567,0.189,0.213,0.307,0.307,0.354,0.533,0.55,0.55,0.57,0.692,0.678,0.71,0.954,1.006,0.991,1.013,1.017,1.77,0.975,0.992,1.074,1.134,1.213,1.252,1.252,1.283,1.222,1.096,1.023,1.017,1.0,1.473,1.417,1.417,1.478,1.526,1.597,1.622,1.656,1.647,1.633,1.881,1.714,1.685,1.675,1.675,1.881,1.881,1.881,1.558,1.558,1.651,1.644,1.66,1.694,1.696,1.696,1.696,1.696,1.725,1.782,1.802,1.811,1.817,1.829,1.845,1.864,1.891,1.891,2.009,1.921,1.969,2.002,2.045,2.249,2.046,2.092,2.073,2.676,2.676,2.027,2.027,2.027,2.027,1.969,2.087,2.087,2.129,2.129,2.129,2.129,2.129,2.175,2.192,2.217,2.217,2.217,2.257,2.234,2.234,2.284,2.319,2.332,1.548,2.319,2.319,2.319,2.35,2.379,2.379,2.952,2.952,2.952,2.952,2.952,2.37,2.89,1.871,1.058,2.163,2.163,2.163,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.018,1.224,1.234,1.169,1.324,1.126,1.043,12.392
Point_53,10.037,1.28,1.237,1.227,1.185,1.125,1.069,1.068,1.03,0.999,0.987,1.905,0.81,0.748,0.844,0.884,0.567,0.522,0.498,0.474,0.161,0.161,0.085,1.134,1.505,1.1,6.378,1.871,1.331,1.505,1.505,0.073,1.78,1.871,1.871,1.508,2.257,1.871,1.243,1.871,1.01,0.79,0.79,1.021,1.021,0.123,0.134,0.051,0.075,0.058,0.019,0.0,0.0,1.021,0.42,2.071,0.503,0.526,0.526,1.324,0.557,0.567,0.189,0.213,0.307,0.307,0.354,0.533,0.55,0.55,0.57,0.692,0.678,0.71,0.954,1.006,0.991,1.013,1.017,1.77,0.975,0.992,1.074,1.134,1.213,1.252,1.252,1.283,1.222,1.096,1.023,1.017,1.0,1.473,1.417,1.417,1.478,1.526,1.597,1.622,1.656,1.647,1.633,1.881,1.714,1.685,1.675,1.675,1.881,1.881,1.881,1.558,1.558,1.651,1.644,1.66,1.694,1.696,1.696,1.696,1.696,1.725,1.782,1.802,1.811,1.817,1.829,1.845,1.864,1.891,1.891,2.009,1.921,1.969,2.002,2.045,2.249,2.046,2.092,2.073,2.676,2.676,2.027,2.027,2.027,2.027,1.969,2.087,2.087,2.129,2.129,2.129,2.129,2.129,2.175,2.192,2.217,2.217,2.217,2.257,2.234,2.234,2.284,2.319,2.332,1.548,2.319,2.319,2.319,2.35,2.379,2.379,2.952,2.952,2.952,2.952,2.952,2.37,2.89,1.871,1.058,2.163,2.163,2.163,1.776,1.776,1.776,1.776,1.776,1.776,1.776,1.018,1.224,1.234,1.169,1.324,1.126,1.043,12.392
Point_54,10.205,1.353,1.309,1.3,1.258,1.198,1.141,1.141,1.103,1.072,1.059,1.977,0.883,0.821,0.916,0.957,0.64,0.594,0.571,0.547,0.253,0.253,0.327,1.302,1.673,1.268,6.451,2.039,1.499,1.673,1.673,0.095,1.948,2.039,2.039,1.677,2.425,2.039,1.411,2.039,1.178,0.958,0.958,0.0,0.0,0.185,0.196,0.219,0.137,0.226,0.149,0.168,0.168,0.0,0.35,2.144,0.433,0.456,0.456,1.492,0.487,0.64,0.225,0.286,0.38,0.38,0.427,0.606,0.623,0.623,0.643,0.765,0.751,0.783,1.026,1.078,1.063,1.086,1.09,1.842,1.048,1.064,1.146,1.207,1.286,1.325,1.325,1.356,1.295,1.169,1.096,1.09,1.073,1.545,1.49,1.49,1.551,1.598,1.67,1.695,1.729,1.719,1.706,1.954,1.787,1.758,1.748,1.748,1.954,1.954,1.954,1.631,1.631,1.724,1.717,1.733,1.766,1.769,1.769,1.769,1.769,1.798,1.855,1.875,1.884,1.89,1.902,1.918,1.937,1.964,1.964,2.082,1.993,2.042,2.075,2.118,2.322,2.119,2.164,2.146,2.749,2.749,2.099,2.099,2.099,2.099,2.042,2.159,2.159,2.202,2.202,2.202,2.202,2.202,2.248,2.265,2.29,2.29,2.29,2.33,2.307,2.307,2.357,2.392,2.405,1.621,2.392,2.392,2.392,2.422,2.452,2.452,3.12,3.12,3.12,3.12,3.12,2.538,3.058,2.039,1.131,2.331,2.331,2.331,1.944,1.944,1.944,1.944,1.944,1.944,1.944,1.186,1.392,1.402,1.338,1.492,1.294,1.212,12.465
Point_55,10.12,1.605,1.561,1.552,1.51,1.45,1.393,1.392,1.354,1.324,1.311,2.229,1.135,1.073,1.168,1.208,0.892,0.846,0.822,0.798,0.505,0.505,0.578,1.217,1.588,1.184,6.702,1.954,1.414,1.588,1.588,0.346,1.863,1.954,1.954,1.592,2.34,1.954,1.326,1.954,1.094,0.873,0.873,1.346,1.346,0.437,0.448,0.471,0.389,0.478,0.4,0.42,0.42,1.346,0.0,2.395,0.083,0.106,0.106,2.047,0.138,0.892,0.476,0.538,0.631,0.631,0.679,0.857,0.875,0.875,0.894,1.016,1.003,1.034,1.278,1.33,1.315,1.337,1.341,2.094,1.3,1.316,1.398,1.459,1.538,1.576,1.576,1.607,1.546,1.42,1.347,1.342,1.324,1.797,1.741,1.741,1.803,1.85,1.921,1.946,1.981,1.971,1.957,2.205,2.038,2.01,1.999,1.999,2.205,2.205,2.205,1.883,1.883,1.976,1.969,1.984,2.018,2.021,2.021,2.021,2.021,2.049,2.106,2.127,2.135,2.142,2.153,2.17,2.188,2.216,2.216,2.333,2.245,2.293,2.326,2.37,2.573,2.37,2.416,2.397,3.001,3.001,2.351,2.351,2.351,2.351,2.293,2.411,2.411,2.454,2.454,2.454,2.454,2.454,2.5,2.517,2.542,2.542,2.542,2.581,2.558,2.558,2.609,2.643,2.657,1.872,2.643,2.643,2.643,2.674,2.704,2.704,3.035,3.035,3.035,3.035,3.035,2.453,2.973,1.954,1.382,2.247,2.247,2.247,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.437,1.644,1.654,1.589,2.047,1.545,1.463,12.717
Point_56,9.038,0.452,0.496,0.629,0.587,0.607,0.664,0.664,0.702,0.733,0.746,0.83,0.904,0.969,1.021,1.061,1.15,1.195,1.219,1.243,1.556,1.556,1.63,2.813,3.185,2.78,5.368,3.551,3.01,3.185,3.185,1.695,3.46,3.551,3.551,3.188,3.937,3.551,2.923,3.551,2.69,2.47,2.47,1.827,1.827,1.605,1.594,1.659,1.653,1.659,1.709,1.728,1.728,1.827,2.041,0.0,2.125,2.147,2.147,2.417,2.179,1.15,1.565,1.504,1.41,1.41,1.363,1.184,1.167,1.167,1.147,1.025,1.039,1.007,0.962,1.014,0.999,1.021,1.026,1.209,0.984,1.0,1.082,0.92,0.841,0.803,0.803,0.772,0.833,0.959,0.907,0.901,0.884,0.912,0.893,0.893,0.844,0.797,0.811,0.751,0.769,0.759,0.689,1.321,0.666,0.633,0.647,0.647,1.321,1.321,1.321,0.549,0.549,0.642,0.635,0.651,0.684,0.687,0.687,0.687,0.687,0.716,0.772,0.793,0.802,0.808,0.82,0.836,0.855,0.882,0.882,0.999,0.911,0.96,0.993,1.036,0.591,1.037,1.082,1.063,1.667,1.667,1.017,1.017,1.017,1.017,0.96,0.016,0.016,0.058,0.058,0.058,0.058,0.058,0.104,0.121,0.146,0.146,0.146,0.186,0.163,0.163,0.213,0.248,0.261,0.539,0.248,0.248,0.248,0.279,0.308,0.308,4.631,4.631,4.631,4.631,4.631,4.049,4.569,3.551,0.674,3.843,3.843,3.843,3.456,3.456,3.456,3.456,3.456,3.456,3.456,2.697,2.44,2.43,2.849,2.417,1.793,1.876,11.383
Point_57,8.925,1.688,1.644,1.635,1.593,1.533,1.476,1.476,1.438,1.407,1.394,2.312,1.218,1.156,1.251,1.292,0.975,0.929,0.906,0.882,0.588,0.588,0.662,1.3,1.672,1.267,6.785,2.038,1.497,1.672,1.672,0.429,1.947,2.038,2.038,1.675,2.424,2.038,1.41,2.038,1.177,0.957,0.957,1.429,1.429,0.52,0.531,0.554,0.472,0.561,0.484,0.503,0.503,1.429,0.083,2.479,0.0,0.023,0.023,1.963,0.054,0.975,0.559,0.621,0.715,0.715,0.762,0.94,0.958,0.958,0.977,1.1,1.086,1.118,1.361,1.413,1.398,1.421,1.425,2.177,1.383,1.399,1.481,1.542,1.621,1.659,1.659,1.691,1.63,1.503,1.431,1.425,1.408,1.88,1.824,1.824,1.886,1.933,2.005,2.029,2.064,2.054,2.041,2.288,2.122,2.093,2.083,2.083,2.288,2.288,2.288,1.966,1.966,2.059,2.052,2.068,2.101,2.104,2.104,2.104,2.104,2.133,2.189,2.21,2.219,2.225,2.237,2.253,2.272,2.299,2.299,2.416,2.328,2.377,2.41,2.453,2.656,2.454,2.499,2.48,3.084,3.084,2.434,2.434,2.434,2.434,2.377,2.494,2.494,2.537,2.537,2.537,2.537,2.537,2.583,2.6,2.625,2.625,2.625,2.664,2.642,2.642,2.692,2.727,2.74,1.956,2.727,2.727,2.727,2.757,2.787,2.787,3.118,3.118,3.118,3.118,3.118,2.536,3.056,2.038,1.465,2.33,2.33,2.33,1.943,1.943,1.943,1.943,1.943,1.943,1.943,1.52,1.727,1.737,1.672,1.963,1.629,1.546,12.8
Point_58,8.902,1.711,1.667,1.658,1.616,1.556,1.499,1.498,1.461,1.43,1.417,2.335,1.241,1.179,1.274,1.314,0.998,0.952,0.928,0.905,0.611,0.611,0.685,1.323,1.694,1.29,6.808,2.061,1.52,1.694,1.694,0.452,1.969,2.061,2.061,1.698,2.446,2.061,1.433,2.061,1.2,0.979,0.979,1.452,1.452,0.543,0.554,0.577,0.495,0.584,0.506,0.526,0.526,1.452,0.106,2.501,0.023,0.0,0.0,1.941,0.031,0.998,0.582,0.644,0.737,0.737,0.785,0.963,0.981,0.981,1.0,1.122,1.109,1.14,1.384,1.436,1.421,1.443,1.447,2.2,1.406,1.422,1.504,1.565,1.644,1.682,1.682,1.714,1.653,1.526,1.453,1.448,1.43,1.903,1.847,1.847,1.909,1.956,2.027,2.052,2.087,2.077,2.064,2.311,2.144,2.116,2.106,2.106,2.311,2.311,2.311,1.989,1.989,2.082,2.075,2.09,2.124,2.127,2.127,2.127,2.127,2.155,2.212,2.233,2.241,2.248,2.259,2.276,2.295,2.322,2.322,2.439,2.351,2.4,2.433,2.476,2.679,2.476,2.522,2.503,3.107,3.107,2.457,2.457,2.457,2.457,2.4,2.517,2.517,2.56,2.56,2.56,2.56,2.56,2.606,2.623,2.648,2.648,2.648,2.687,2.664,2.664,2.715,2.749,2.763,1.978,2.749,2.749,2.749,2.78,2.81,2.81,3.141,3.141,3.141,3.141,3.141,2.559,3.079,2.061,1.488,2.353,2.353,2.353,1.965,1.965,1.965,1.965,1.965,1.965,1.965,1.543,1.75,1.76,1.695,1.941,1.651,1.569,12.823
Point_59,8.902,1.711,1.667,1.658,1.616,1.556,1.499,1.498,1.461,1.43,1.417,2.335,1.241,1.179,1.274,1.314,0.998,0.952,0.928,0.905,0.611,0.611,0.685,1.323,1.694,1.29,6.808,2.061,1.52,1.694,1.694,0.452,1.969,2.061,2.061,1.698,2.446,2.061,1.433,2.061,1.2,0.979,0.979,1.452,1.452,0.543,0.554,0.577,0.495,0.584,0.506,0.526,0.526,1.452,0.106,2.501,0.023,0.0,0.0,1.941,0.031,0.998,0.582,0.644,0.737,0.737,0.785,0.963,0.981,0.981,1.0,1.122,1.109,1.14,1.384,1.436,1.421,1.443,1.447,2.2,1.406,1.422,1.504,1.565,1.644,1.682,1.682,1.714,1.653,1.526,1.453,1.448,1.43,1.903,1.847,1.847,1.909,1.956,2.027,2.052,2.087,2.077,2.064,2.311,2.144,2.116,2.106,2.106,2.311,2.311,2.311,1.989,1.989,2.082,2.075,2.09,2.124,2.127,2.127,2.127,2.127,2.155,2.212,2.233,2.241,2.248,2.259,2.276,2.295,2.322,2.322,2.439,2.351,2.4,2.433,2.476,2.679,2.476,2.522,2.503,3.107,3.107,2.457,2.457,2.457,2.457,2.4,2.517,2.517,2.56,2.56,2.56,2.56,2.56,2.606,2.623,2.648,2.648,2.648,2.687,2.664,2.664,2.715,2.749,2.763,1.978,2.749,2.749,2.749,2.78,2.81,2.81,3.141,3.141,3.141,3.141,3.141,2.559,3.079,2.061,1.488,2.353,2.353,2.353,1.965,1.965,1.965,1.965,1.965,1.965,1.965,1.543,1.75,1.76,1.695,1.941,1.651,1.569,12.823
Point_60,8.178,1.496,1.577,1.407,1.365,1.466,1.409,1.408,1.371,1.34,1.327,1.356,1.236,1.179,1.124,1.083,1.205,1.251,1.275,1.299,1.376,1.376,1.3,2.058,2.429,2.024,4.531,2.795,2.254,2.429,2.429,1.322,2.704,2.795,2.795,2.432,3.181,2.795,2.167,2.795,1.934,1.714,1.714,1.696,1.696,1.444,1.433,1.267,1.492,1.274,1.268,1.249,1.249,1.696,1.406,1.904,1.49,1.512,1.512,0.0,1.544,1.205,1.405,1.429,1.523,1.523,1.57,1.24,1.222,1.222,1.203,1.123,1.109,1.141,1.294,1.346,1.331,1.353,1.357,2.11,1.316,1.332,1.414,1.475,1.554,1.592,1.592,1.624,1.563,1.436,1.363,1.358,1.34,1.813,1.757,1.757,1.819,1.866,1.937,1.962,1.997,1.987,1.733,2.591,1.71,1.677,1.691,1.691,2.591,2.591,2.591,1.593,1.593,1.686,1.679,1.695,1.728,1.731,1.731,1.731,1.731,1.76,1.816,1.837,1.846,1.852,1.864,1.88,1.899,1.926,1.926,1.842,1.955,1.779,1.856,1.899,1.259,1.899,1.945,1.675,2.109,2.109,1.722,1.722,1.722,1.722,1.779,1.92,1.92,1.962,1.962,1.962,1.962,1.962,2.009,2.025,2.051,2.051,2.051,2.09,2.067,2.067,2.117,2.152,2.166,1.583,2.152,2.152,2.152,2.183,1.487,1.487,3.876,3.876,3.876,3.876,3.876,3.294,3.814,2.795,1.398,3.087,3.087,3.087,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0.653,0.86,0.869,0.805,0.0,0.092,0.174,11.824
Point_61,8.868,1.742,1.698,1.689,1.647,1.587,1.53,1.53,1.492,1.461,1.448,2.366,1.272,1.21,1.306,1.346,1.029,0.984,0.96,0.936,0.642,0.642,0.716,1.355,1.726,1.321,6.84,2.092,1.552,1.726,1.726,0.484,2.001,2.092,2.092,1.729,2.478,2.092,1.464,2.092,1.231,1.011,1.011,1.483,1.483,0.574,0.585,0.608,0.526,0.615,0.538,0.557,0.557,1.483,0.138,2.533,0.054,0.031,0.031,1.906,0.0,1.029,0.614,0.675,0.769,0.769,0.816,0.995,1.012,1.012,1.032,1.154,1.14,1.172,1.415,1.467,1.453,1.475,1.479,2.232,1.437,1.453,1.535,1.596,1.675,1.714,1.714,1.745,1.684,1.558,1.485,1.479,1.462,1.934,1.879,1.879,1.94,1.988,2.059,2.084,2.118,2.109,2.095,2.343,2.176,2.147,2.137,2.137,2.343,2.343,2.343,2.02,2.02,2.113,2.106,2.122,2.156,2.158,2.158,2.158,2.158,2.187,2.244,2.264,2.273,2.279,2.291,2.307,2.326,2.353,2.353,2.471,2.383,2.431,2.464,2.507,2.711,2.508,2.554,2.535,3.138,3.138,2.488,2.488,2.488,2.488,2.431,2.549,2.549,2.591,2.591,2.591,2.591,2.591,2.637,2.654,2.679,2.679,2.679,2.719,2.696,2.696,2.746,2.781,2.794,2.01,2.781,2.781,2.781,2.811,2.841,2.841,3.173,3.173,3.173,3.173,3.173,2.591,3.111,2.092,1.52,2.384,2.384,2.384,1.997,1.997,1.997,1.997,1.997,1.997,1.997,1.575,1.929,1.919,1.727,1.906,1.683,1.601,12.854
Point_62,10.566,0.713,0.669,0.66,0.618,0.558,0.501,0.501,0.463,0.432,0.419,1.337,0.243,0.181,0.276,0.317,0.0,0.046,0.069,0.093,0.407,0.407,0.48,1.664,2.035,1.63,5.811,2.401,1.86,2.035,2.035,0.545,2.31,2.401,2.401,2.038,2.787,2.401,1.773,2.401,1.54,1.32,1.32,0.677,0.677,0.455,0.444,0.509,0.503,0.509,0.559,0.578,0.578,0.677,0.892,1.504,0.975,0.998,0.998,1.854,1.029,0.0,0.416,0.354,0.26,0.26,0.213,0.035,0.017,0.017,0.003,0.125,0.111,0.143,0.386,0.438,0.423,0.446,0.45,1.202,0.408,0.424,0.506,0.567,0.646,0.684,0.684,0.716,0.655,0.529,0.456,0.45,0.433,0.905,0.85,0.85,0.911,0.958,1.03,1.054,1.089,1.079,1.066,1.313,1.147,1.118,1.108,1.108,1.313,1.313,1.313,0.991,0.991,1.084,1.077,1.093,1.126,1.129,1.129,1.129,1.129,1.158,1.215,1.235,1.244,1.25,1.262,1.278,1.297,1.324,1.324,1.442,1.353,1.402,1.435,1.478,1.682,1.479,1.524,1.506,2.109,2.109,1.459,1.459,1.459,1.459,1.402,1.519,1.519,1.562,1.562,1.562,1.562,1.562,1.608,1.625,1.65,1.65,1.65,1.689,1.667,1.667,1.717,1.752,1.765,0.981,1.752,1.752,1.752,1.782,1.812,1.812,3.482,3.482,3.482,3.482,3.482,2.9,3.42,2.401,0.491,2.693,2.693,2.693,2.306,2.306,2.306,2.306,2.306,2.306,2.306,1.547,1.754,1.764,1.699,1.854,1.162,1.573,11.825
Point_63,10.188,1.128,1.085,1.076,1.034,0.974,0.917,0.916,0.878,0.848,0.835,1.753,0.658,0.597,0.692,0.732,0.416,0.37,0.346,0.322,0.029,0.029,0.102,1.286,1.657,1.252,6.226,2.023,1.482,1.657,1.657,0.13,1.932,2.023,2.023,1.66,2.409,2.023,1.395,2.023,1.162,0.942,0.942,0.87,0.87,0.039,0.028,0.131,0.087,0.131,0.143,0.162,0.162,0.87,0.476,1.919,0.559,0.582,0.582,1.476,0.614,0.416,0.0,0.062,0.155,0.155,0.203,0.381,0.398,0.398,0.418,0.54,0.526,0.558,0.802,0.854,0.839,0.861,0.865,1.618,0.824,0.84,0.922,0.983,1.062,1.1,1.1,1.131,1.07,0.944,0.871,0.866,0.848,1.321,1.265,1.265,1.327,1.374,1.445,1.47,1.505,1.495,1.481,1.729,1.562,1.534,1.523,1.523,1.729,1.729,1.729,1.407,1.407,1.5,1.493,1.508,1.542,1.545,1.545,1.545,1.545,1.573,1.63,1.651,1.659,1.666,1.677,1.694,1.712,1.74,1.74,1.857,1.769,1.817,1.85,1.894,2.097,1.894,1.94,1.921,2.525,2.525,1.875,1.875,1.875,1.875,1.817,1.935,1.935,1.977,1.977,1.977,1.977,1.977,2.024,2.041,2.066,2.066,2.066,2.105,2.082,2.082,2.133,2.167,2.181,1.396,2.167,2.167,2.167,2.198,2.228,2.228,3.104,3.104,3.104,3.104,3.104,2.522,3.042,2.023,0.906,2.315,2.315,2.315,1.928,1.928,1.928,1.928,1.928,1.928,1.928,1.169,1.376,1.386,1.321,1.476,1.277,1.195,12.241
Point_64,10.213,1.067,1.023,1.014,0.972,0.912,0.855,0.855,0.817,0.786,0.773,1.691,0.597,0.535,0.63,0.671,0.354,0.308,0.285,0.261,0.053,0.053,0.127,1.31,1.681,1.276,6.164,2.047,1.507,1.681,1.681,0.191,1.956,2.047,2.047,1.684,2.433,2.047,1.419,2.047,1.186,0.966,0.966,0.808,0.808,0.101,0.09,0.155,0.149,0.155,0.205,0.224,0.224,0.808,0.538,1.858,0.621,0.644,0.644,1.5,0.675,0.354,0.062,0.0,0.094,0.094,0.141,0.319,0.337,0.337,0.357,0.479,0.465,0.497,0.74,0.792,0.777,0.8,0.804,1.556,0.762,0.778,0.86,0.921,1.0,1.038,1.038,1.07,1.009,0.883,0.81,0.804,0.787,1.259,1.204,1.204,1.265,1.312,1.384,1.408,1.443,1.433,1.42,1.667,1.501,1.472,1.462,1.462,1.667,1.667,1.667,1.345,1.345,1.438,1.431,1.447,1.48,1.483,1.483,1.483,1.483,1.512,1.568,1.589,1.598,1.604,1.616,1.632,1.651,1.678,1.678,1.795,1.707,1.756,1.789,1.832,2.036,1.833,1.878,1.86,2.463,2.463,1.813,1.813,1.813,1.813,1.756,1.873,1.873,1.916,1.916,1.916,1.916,1.916,1.962,1.979,2.004,2.004,2.004,2.043,2.021,2.021,2.071,2.106,2.119,1.335,2.106,2.106,2.106,2.136,2.166,2.166,3.128,3.128,3.128,3.128,3.128,2.546,3.066,2.047,0.844,2.339,2.339,2.339,1.952,1.952,1.952,1.952,1.952,1.952,1.952,1.193,1.4,1.41,1.345,1.5,1.302,1.219,12.179
Point_65,10.306,0.973,0.93,0.92,0.878,0.818,0.762,0.761,0.723,0.692,0.68,1.598,0.503,0.441,0.537,0.577,0.26,0.215,0.191,0.167,0.146,0.146,0.22,1.403,1.775,1.37,6.071,2.141,1.6,1.775,1.775,0.285,2.05,2.141,2.141,1.778,2.527,2.141,1.513,2.141,1.28,1.06,1.06,0.714,0.714,0.194,0.184,0.249,0.243,0.249,0.298,0.318,0.318,0.714,0.631,1.764,0.715,0.737,0.737,1.593,0.769,0.26,0.155,0.094,0.0,0.0,0.047,0.226,0.243,0.243,0.263,0.385,0.371,0.403,0.647,0.699,0.684,0.706,0.71,1.463,0.668,0.685,0.767,0.827,0.906,0.945,0.945,0.976,0.915,0.789,0.716,0.71,0.693,1.166,1.11,1.11,1.171,1.219,1.29,1.315,1.349,1.34,1.326,1.574,1.407,1.378,1.368,1.368,1.574,1.574,1.574,1.251,1.251,1.344,1.337,1.353,1.387,1.389,1.389,1.389,1.389,1.418,1.475,1.495,1.504,1.51,1.522,1.538,1.557,1.584,1.584,1.702,1.614,1.662,1.695,1.738,1.942,1.739,1.785,1.766,2.369,2.369,1.72,1.72,1.72,1.72,1.662,1.78,1.78,1.822,1.822,1.822,1.822,1.822,1.868,1.885,1.91,1.91,1.91,1.95,1.927,1.927,1.977,2.012,2.025,1.241,2.012,2.012,2.012,2.043,2.072,2.072,3.221,3.221,3.221,3.221,3.221,2.639,3.159,2.141,0.751,2.433,2.433,2.433,2.045,2.045,2.045,2.045,2.045,2.045,2.045,1.287,1.494,1.504,1.439,1.593,1.395,1.313,12.085
Point_66,10.306,0.973,0.93,0.92,0.878,0.818,0.762,0.761,0.723,0.692,0.68,1.598,0.503,0.441,0.537,0.577,0.26,0.215,0.191,0.167,0.146,0.146,0.22,1.403,1.775,1.37,6.071,2.141,1.6,1.775,1.775,0.285,2.05,2.141,2.141,1.778,2.527,2.141,1.513,2.141,1.28,1.06,1.06,0.714,0.714,0.194,0.184,0.249,0.243,0.249,0.298,0.318,0.318,0.714,0.631,1.764,0.715,0.737,0.737,1.593,0.769,0.26,0.155,0.094,0.0,0.0,0.047,0.226,0.243,0.243,0.263,0.385,0.371,0.403,0.647,0.699,0.684,0.706,0.71,1.463,0.668,0.685,0.767,0.827,0.906,0.945,0.945,0.976,0.915,0.789,0.716,0.71,0.693,1.166,1.11,1.11,1.171,1.219,1.29,1.315,1.349,1.34,1.326,1.574,1.407,1.378,1.368,1.368,1.574,1.574,1.574,1.251,1.251,1.344,1.337,1.353,1.387,1.389,1.389,1.389,1.389,1.418,1.475,1.495,1.504,1.51,1.522,1.538,1.557,1.584,1.584,1.702,1.614,1.662,1.695,1.738,1.942,1.739,1.785,1.766,2.369,2.369,1.72,1.72,1.72,1.72,1.662,1.78,1.78,1.822,1.822,1.822,1.822,1.822,1.868,1.885,1.91,1.91,1.91,1.95,1.927,1.927,1.977,2.012,2.025,1.241,2.012,2.012,2.012,2.043,2.072,2.072,3.221,3.221,3.221,3.221,3.221,2.639,3.159,2.141,0.751,2.433,2.433,2.433,2.045,2.045,2.045,2.045,2.045,2.045,2.045,1.287,1.494,1.504,1.439,1.593,1.395,1.313,12.085
